codigo_ibge,nome,latitude,longitude
3513603,Cunha,-23.0731,-44.9576
3510906,Cássia dos Coqueiros,-21.2801,-47.1643
3510005,Cândido Mota,-22.7471,-50.3873
3510104,Cândido Rodrigues,-21.3275,-48.6327
3513702,Descalvado,-21.9002,-47.6181
3513801,Diadema,-23.6813,-46.6205
3513850,Dirce Reis,-20.4642,-50.6073
3513900,Divinolândia,-21.6637,-46.7361
3514007,Dobrada,-21.5155,-48.3935
3514106,Dois Córregos,-22.3673,-48.3819
3514205,Dolcinópolis,-20.124,-50.5149
3514304,Dourado,-22.1044,-48.3178
3514403,Dracena,-21.4843,-51.535
3514502,Duartina,-22.4146,-49.4084
3514601,Dumont,-21.2324,-47.9756
3514700,Echaporã,-22.4326,-50.2038
3514809,Eldorado,-24.5281,-48.1141
3514908,Elias Fausto,-23.0428,-47.3682
3514924,Elisiário,-21.1678,-49.1146
3514957,Embaúba,-20.9796,-48.8325
3515004,Embu das Artes,-23.6437,-46.8579
3515103,Embu-Guaçu,-23.8297,-46.8136
3515129,Emilianópolis,-21.8314,-51.4832
3515152,Engenheiro Coelho,-22.4836,-47.211
3515186,Espírito Santo do Pinhal,-22.1909,-46.7477
3515194,Espírito Santo do Turvo,-22.6925,-49.4341
3557303,Estiva Gerbi,-22.2713,-46.9481
3515202,Estrela d'Oeste,-20.2875,-50.4049
3515301,Estrela do Norte,-22.4859,-51.6632
3515350,Euclides da Cunha Paulista,-22.5545,-52.5928
3515400,Fartura,-23.3916,-49.5124
3515608,Fernando Prestes,-21.2661,-48.6874
3515509,Fernandópolis,-20.2806,-50.2471
3515657,Fernão,-22.3607,-49.5187
3515707,Ferraz de Vasconcelos,-23.5411,-46.371
3515806,Flora Rica,-21.6727,-51.3821
3515905,Floreal,-20.6752,-50.1513
3516101,Florínia,-22.868,-50.6814
3516002,Flórida Paulista,-21.6127,-51.1724
3516200,Franca,-20.5352,-47.4039
3516309,Francisco Morato,-23.2792,-46.7448
3516408,Franco da Rocha,-23.3229,-46.729
3516507,Gabriel Monteiro,-21.5294,-50.5573
3516705,Garça,-22.2125,-49.6546
3516804,Gastão Vidigal,-20.7948,-50.1912
3516853,Gavião Peixoto,-21.8367,-48.4957
3516903,General Salgado,-20.6485,-50.364
3517000,Getulina,-21.7961,-49.9312
3517109,Glicério,-21.3812,-50.2123
3517307,Guaimbê,-21.9091,-49.8986
3517208,Guaiçara,-21.6195,-49.8013
3517604,Guapiara,-24.1892,-48.5295
3517505,Guapiaçu,-20.7959,-49.2172
3517901,Guaraci,-20.4977,-48.9391
3518008,Guarani d'Oeste,-20.0746,-50.3411
3518107,Guarantã,-21.8942,-49.5914
3518206,Guararapes,-21.2544,-50.6453
3518305,Guararema,-23.4112,-46.0369
3518404,Guaratinguetá,-22.8075,-45.1938
3517802,Guaraçaí,-21.0292,-51.2119
3518503,Guareí,-23.3714,-48.1837
3518602,Guariba,-21.3594,-48.2316
3518701,Guarujá,-23.9888,-46.258
3518800,Guarulhos,-23.4538,-46.5333
3517703,Guará,-20.4302,-47.8236
3518859,Guatapará,-21.4944,-48.0356
3517406,Guaíra,-20.3196,-48.312
3518909,Guzolândia,-20.6467,-50.6645
3516606,Gália,-22.2918,-49.5504
3519006,Herculândia,-22.0038,-50.3907
3519055,Holambra,-22.6405,-47.0487
3519071,Hortolândia,-22.8529,-47.2143
3519105,Iacanga,-21.8896,-49.031
3519204,Iacri,-21.8572,-50.6932
3519253,Iaras,-22.8682,-49.1634
3519303,Ibaté,-21.9584,-47.9882
3519501,Ibirarema,-22.8185,-50.0739
3519402,Ibirá,-21.083,-49.2448
3519600,Ibitinga,-21.7562,-48.8319
3519709,Ibiúna,-23.6596,-47.223
3519808,Icém,-20.3391,-49.1915
3519907,Iepê,-22.6602,-51.0779
3520103,Igarapava,-20.0407,-47.7466
3520202,Igaratá,-23.2037,-46.157
3520004,Igaraçu do Tietê,-22.509,-48.5597
3520301,Iguape,-24.699,-47.5537
3520426,Ilha Comprida,-24.7307,-47.5383
3520442,Ilha Solteira,-20.4326,-51.3426
3520400,Ilhabela,-23.7785,-45.3552
3520509,Indaiatuba,-23.0816,-47.2101
3520608,Indiana,-22.1738,-51.2555
3520707,Indiaporã,-19.979,-50.2909
3520806,Inúbia Paulista,-21.7695,-50.9633
3520905,Ipaussu,-23.0575,-49.6279
3521002,Iperó,-23.3513,-47.6927
3521101,Ipeúna,-22.4355,-47.7151
3521150,Ipiguá,-20.6557,-49.3842
3521200,Iporanga,-24.5847,-48.5971
3521309,Ipuã,-20.4438,-48.0129
3521408,Iracemápolis,-22.5832,-47.523
3521606,Irapuru,-21.5684,-51.3472
3521507,Irapuã,-21.2768,-49.4164
3521705,Itaberá,-23.8638,-49.14
3521903,Itajobi,-21.3123,-49.0629
3522000,Itaju,-21.9857,-48.8116
3522109,Itanhaém,-24.1736,-46.788
3522208,Itapecerica da Serra,-23.7161,-46.8572
3522307,Itapetininga,-23.5886,-48.0483
3522406,Itapeva,-23.9788,-48.8764
3522505,Itapevi,-23.5488,-46.9327
3522604,Itapira,-22.4357,-46.8224
3522653,Itapirapuã Paulista,-24.572,-49.1661
3522802,Itaporanga,-23.7043,-49.4819
3523008,Itapura,-20.6419,-51.5063
3522901,Itapuí,-22.2324,-48.7197
3523107,Itaquaquecetuba,-23.4835,-46.3457
3523206,Itararé,-24.1085,-49.3352
3523305,Itariri,-24.2834,-47.1736
3523404,Itatiba,-23.0035,-46.8464
3523503,Itatinga,-23.1047,-48.6157
3521804,Itaí,-23.4213,-49.092
3522158,Itaóca,-24.6393,-48.8413
3523602,Itirapina,-22.2562,-47.8166
3523701,Itirapuã,-20.6416,-47.2194
3523800,Itobi,-21.7309,-46.9743
3523909,Itu,-23.2544,-47.2927
3524006,Itupeva,-23.1526,-47.0593
3524105,Ituverava,-20.3355,-47.7902
3522703,Itápolis,-21.5942,-48.8149
3524204,Jaborandi,-20.6884,-48.4112
3524303,Jaboticabal,-21.252,-48.3252
3524402,Jacareí,-23.2983,-45.9658
3524501,Jaci,-20.8805,-49.5797
3524600,Jacupiranga,-24.6963,-48.0064
3524709,Jaguariúna,-22.7037,-46.9851
3524808,Jales,-20.2672,-50.5494
3524907,Jambeiro,-23.2522,-45.6942
3525003,Jandira,-23.5275,-46.9023
3525102,Jardinópolis,-21.0176,-47.7606
3525201,Jarinu,-23.1039,-46.728
3525300,Jaú,-22.2936,-48.5592
3525409,Jeriquara,-20.3116,-47.5918
3525508,Joanópolis,-22.927,-46.2741
3525706,José Bonifácio,-21.0551,-49.6892
3525607,João Ramalho,-22.2473,-50.7694
3525854,Jumirim,-23.0884,-47.7868
3525904,Jundiaí,-23.1852,-46.8974
3526001,Junqueirópolis,-21.5103,-51.4342
3526209,Juquitiba,-23.9244,-47.0653
3526100,Juquiá,-24.3101,-47.6426
3525805,Júlio Mesquita,-22.0112,-49.7873
3526308,Lagoinha,-23.0846,-45.1944
3526407,Laranjal Paulista,-23.0506,-47.8375
3526605,Lavrinhas,-22.57,-44.9024
3526506,Lavínia,-21.1639,-51.0412
3526704,Leme,-22.1809,-47.3841
3526803,Lençóis Paulista,-22.6027,-48.8037
3526902,Limeira,-22.566,-47.397
3527009,Lindóia,-22.5226,-46.65
3527108,Lins,-21.6718,-49.7526
3527207,Lorena,-22.7334,-45.1197
3527256,Lourdes,-20.966,-50.2263
3527306,Louveira,-23.0856,-46.9484
3527504,Lucianópolis,-22.4294,-49.522
3527405,Lucélia,-21.7182,-51.0215
3527702,Luiziânia,-21.6737,-50.3294
3527801,Lupércio,-22.4146,-49.818
3527900,Lutécia,-22.3384,-50.394
3527603,Luís Antônio,-21.55,-47.7801
3528007,Macatuba,-22.5002,-48.7102
3528106,Macaubal,-20.8022,-49.9687
3528205,Macedônia,-20.1444,-50.1973
3528304,Magda,-20.6445,-50.2305
3528403,Mairinque,-23.5398,-47.185
3528502,Mairiporã,-23.3171,-46.5897
